;id;lat;lon;x;y;min_db;max_db;station_type
0;18076;18.453185;54.44224754995499;6529446.324943912;6034833.959675305;55.0;60.0;2
1;18195;18.450108076923076;54.441347459945995;6529247.7210082235;6034733.816051862;70.0;75.0;2
2;18256;18.453185;54.441347459945995;6529446.324943912;6034733.816051862;65.0;70.0;2
3;18301;18.45164653846154;54.441347459945995;6529347.022976068;6034733.816051862;65.0;70.0;2
4;18327;18.45472346153846;54.441347459945995;6529545.626911757;6034733.816051862;60.0;65.0;2
5;18561;18.45472346153846;54.44044736993699;6529545.626911757;6034633.672428419;65.0;70.0;2
6;18663;18.456261923076923;54.44044736993699;6529644.9288796;6034633.672428419;55.0;60.0;2
7;18775;18.456261923076923;54.43954727992799;6529644.9288796;6034533.5288049765;70.0;75.0;2
8;19150;18.457800384615386;54.43864718991899;6529744.230847444;6034433.385181533;65.0;70.0;2
9;19178;18.459338846153845;54.43864718991899;6529843.532815289;6034433.385181533;65.0;70.0;2
10;19314;18.460877307692307;54.43864718991899;6529942.834783133;6034433.385181533;55.0;60.0;2
11;19327;18.447031153846154;54.43864718991899;6529049.117072536;6034433.385181533;55.0;60.0;2
12;19350;18.456261923076923;54.43864718991899;6529644.9288796;6034433.385181533;55.0;60.0;2
13;19356;18.445492692307692;54.43864718991899;6528949.815104691;6034433.385181533;55.0;60.0;2
14;19374;18.460877307692307;54.43774709990999;6529942.834783133;6034333.24155809;70.0;75.0;2
15;19409;18.459338846153845;54.43774709990999;6529843.532815289;6034333.24155809;60.0;65.0;2
16;19516;18.46241576923077;54.43774709990999;6530042.1367509775;6034333.24155809;55.0;60.0;2
17;19529;18.44241576923077;54.43774709990999;6528751.211169003;6034333.24155809;55.0;60.0;2
18;19566;18.46549269230769;54.43774709990999;6530240.740686665;6034333.24155809;55.0;60.0;2
19;19722;18.46241576923077;54.43684700990099;6530042.1367509775;6034233.0979346465;65.0;70.0;2
20;19770;18.48549269230769;54.43684700990099;6531531.66626864;6034233.0979346465;65.0;70.0;2
21;19910;18.463954230769232;54.43684700990099;6530141.438718822;6034233.0979346465;55.0;60.0;2
22;19912;18.460877307692307;54.43684700990099;6529942.834783133;6034233.0979346465;55.0;60.0;2
23;19954;18.487031153846154;54.43594691989199;6531630.968236485;6034132.954311204;75.0;80.0;2
24;19983;18.46241576923077;54.43594691989199;6530042.1367509775;6034132.954311204;65.0;70.0;2
25;20012;18.488569615384616;54.43594691989199;6531730.270204329;6034132.954311204;70.0;75.0;2
26;20037;18.48549269230769;54.43594691989199;6531531.66626864;6034132.954311204;65.0;70.0;2
27;20149;18.467031153846154;54.43594691989199;6530340.04265451;6034132.954311204;55.0;60.0;2
28;20196;18.459338846153845;54.43594691989199;6529843.532815289;6034132.954311204;55.0;60.0;2
29;20232;18.487031153846154;54.435046829882985;6531630.968236485;6034032.810687761;80.0;200.0;2
30;20274;18.463954230769232;54.435046829882985;6530141.438718822;6034032.810687761;70.0;75.0;2
31;20334;18.483954230769232;54.435046829882985;6531432.364300796;6034032.810687761;65.0;70.0;2
32;20401;18.48549269230769;54.435046829882985;6531531.66626864;6034032.810687761;65.0;70.0;2
33;20484;18.48241576923077;54.435046829882985;6531333.062332951;6034032.810687761;60.0;65.0;2
34;20531;18.46549269230769;54.435046829882985;6530240.740686665;6034032.810687761;55.0;60.0;2
35;20556;18.487031153846154;54.43414673987399;6531630.968236485;6033932.667064318;80.0;200.0;2
36;20644;18.48549269230769;54.43414673987399;6531531.66626864;6033932.667064318;65.0;70.0;2
37;20712;18.483954230769232;54.43414673987399;6531432.364300796;6033932.667064318;60.0;65.0;2
38;20785;18.46549269230769;54.43414673987399;6530240.740686665;6033932.667064318;60.0;65.0;2
39;20798;18.467031153846154;54.43414673987399;6530340.04265451;6033932.667064318;60.0;65.0;2
40;20815;18.48241576923077;54.43414673987399;6531333.062332951;6033932.667064318;60.0;65.0;2
41;20821;18.46241576923077;54.43414673987399;6530042.1367509775;6033932.667064318;55.0;60.0;2
42;20840;18.487031153846154;54.433246649864984;6531630.968236485;6033832.523440875;80.0;200.0;2
43;20862;18.468569615384617;54.43414673987399;6530439.344622354;6033932.667064318;55.0;60.0;2
44;20986;18.468569615384617;54.433246649864984;6530439.344622354;6033832.523440875;65.0;70.0;2
45;20995;18.48549269230769;54.433246649864984;6531531.66626864;6033832.523440875;65.0;70.0;2
46;21033;18.48241576923077;54.433246649864984;6531333.062332951;6033832.523440875;60.0;65.0;2
47;21039;18.46549269230769;54.433246649864984;6530240.740686665;6033832.523440875;60.0;65.0;2
48;21045;18.480877307692307;54.433246649864984;6531233.760365107;6033832.523440875;60.0;65.0;2
49;21056;18.483954230769232;54.433246649864984;6531432.364300796;6033832.523440875;60.0;65.0;2
50;21064;18.467031153846154;54.433246649864984;6530340.04265451;6033832.523440875;60.0;65.0;2
51;21083;18.46241576923077;54.433246649864984;6530042.1367509775;6033832.523440875;55.0;60.0;2
52;21093;18.470108076923076;54.433246649864984;6530538.646590198;6033832.523440875;55.0;60.0;2
53;21132;18.487031153846154;54.432346559855986;6531630.968236485;6033732.379817433;80.0;200.0;2
54;21169;18.470108076923076;54.432346559855986;6530538.646590198;6033732.379817433;70.0;75.0;2
55;21213;18.488569615384616;54.432346559855986;6531730.270204329;6033732.379817433;70.0;75.0;2
56;21279;18.463954230769232;54.432346559855986;6530141.438718822;6033732.379817433;65.0;70.0;2
57;21303;18.483954230769232;54.432346559855986;6531432.364300796;6033732.379817433;65.0;70.0;2
58;21357;18.480877307692307;54.432346559855986;6531233.760365107;6033732.379817433;60.0;65.0;2
59;21402;18.48241576923077;54.432346559855986;6531333.062332951;6033732.379817433;60.0;65.0;2
60;21437;18.487031153846154;54.43144646984698;6531630.968236485;6033632.236193989;80.0;200.0;2
61;21495;18.47164653846154;54.43144646984698;6530637.948558043;6033632.236193989;70.0;75.0;2
62;21502;18.479338846153848;54.43144646984698;6531134.458397264;6033632.236193989;70.0;75.0;2
63;21509;18.488569615384616;54.43144646984698;6531730.270204329;6033632.236193989;70.0;75.0;2
64;21577;18.483954230769232;54.43144646984698;6531432.364300796;6033632.236193989;65.0;70.0;2
65;21605;18.480877307692307;54.43144646984698;6531233.760365107;6033632.236193989;65.0;70.0;2
66;21662;18.460877307692307;54.43144646984698;6529942.834783133;6033632.236193989;55.0;60.0;2
67;21759;18.487031153846154;54.430546379837985;6531630.968236485;6033532.092570547;75.0;80.0;2
68;21784;18.48241576923077;54.430546379837985;6531333.062332951;6033532.092570547;70.0;75.0;2
69;21797;18.46241576923077;54.430546379837985;6530042.1367509775;6033532.092570547;70.0;75.0;2
70;21809;18.488569615384616;54.430546379837985;6531730.270204329;6033532.092570547;70.0;75.0;2
71;21817;18.490108076923075;54.430546379837985;6531829.572172172;6033532.092570547;65.0;70.0;2
72;21839;18.473185;54.430546379837985;6530737.250525887;6033532.092570547;65.0;70.0;2
73;21856;18.480877307692307;54.430546379837985;6531233.760365107;6033532.092570547;65.0;70.0;2
74;21864;18.48549269230769;54.430546379837985;6531531.66626864;6033532.092570547;65.0;70.0;2
75;21870;18.483954230769232;54.430546379837985;6531432.364300796;6033532.092570547;65.0;70.0;2
76;21877;18.479338846153848;54.430546379837985;6531134.458397264;6033532.092570547;60.0;65.0;2
77;21906;18.476261923076922;54.430546379837985;6530935.854461575;6033532.092570547;60.0;65.0;2
78;21941;18.477800384615385;54.430546379837985;6531035.156429419;6033532.092570547;60.0;65.0;2
79;21966;18.470108076923076;54.430546379837985;6530538.646590198;6033532.092570547;55.0;60.0;2
80;21991;18.47472346153846;54.430546379837985;6530836.552493731;6033532.092570547;55.0;60.0;2
81;22076;18.490108076923075;54.42964628982898;6531829.572172172;6033431.948947103;70.0;75.0;2
82;22093;18.48549269230769;54.42964628982898;6531531.66626864;6033431.948947103;70.0;75.0;2
83;22128;18.477800384615385;54.42964628982898;6531035.156429419;6033431.948947103;65.0;70.0;2
84;22179;18.47472346153846;54.42964628982898;6530836.552493731;6033431.948947103;60.0;65.0;2
85;22205;18.48241576923077;54.42964628982898;6531333.062332951;6033431.948947103;60.0;65.0;2
86;22215;18.476261923076922;54.42964628982898;6530935.854461575;6033431.948947103;60.0;65.0;2
87;22218;18.480877307692307;54.42964628982898;6531233.760365107;6033431.948947103;60.0;65.0;2
88;22269;18.479338846153848;54.42964628982898;6531134.458397264;6033431.948947103;55.0;60.0;2
89;22293;18.460877307692307;54.42964628982898;6529942.834783133;6033431.948947103;55.0;60.0;2
90;22373;18.477800384615385;54.42874619981998;6531035.156429419;6033331.80532366;70.0;75.0;2
91;22442;18.460877307692307;54.42874619981998;6529942.834783133;6033331.80532366;65.0;70.0;2
92;22586;18.480877307692307;54.42874619981998;6531233.760365107;6033331.80532366;55.0;60.0;2
93;22626;18.476261923076922;54.42874619981998;6530935.854461575;6033331.80532366;55.0;60.0;2
94;22641;18.500877307692306;54.42784610981098;6532524.685947082;6033231.661700217;70.0;75.0;2
95;22665;18.493185;54.42784610981098;6532028.176107861;6033231.661700217;70.0;75.0;2
96;22727;18.494723461538463;54.42784610981098;6532127.4780757055;6033231.661700217;65.0;70.0;2
97;22739;18.497800384615385;54.42784610981098;6532326.082011394;6033231.661700217;65.0;70.0;2
98;22740;18.590108076923077;54.42874619981998;6538284.200082046;6033331.80532366;55.0;60.0;2
99;22745;18.499338846153847;54.42784610981098;6532425.383979238;6033231.661700217;65.0;70.0;2
100;22753;18.48241576923077;54.42784610981098;6531333.062332951;6033231.661700217;65.0;70.0;2
101;22756;18.496261923076922;54.42784610981098;6532226.78004355;6033231.661700217;65.0;70.0;2
102;22802;18.477800384615385;54.42784610981098;6531035.156429419;6033231.661700217;60.0;65.0;2
103;22844;18.459338846153845;54.42784610981098;6529843.532815289;6033231.661700217;55.0;60.0;2
104;22851;18.590108076923077;54.42784610981098;6538284.200082046;6033231.661700217;60.0;65.0;2
105;22877;18.480877307692307;54.42784610981098;6531233.760365107;6033231.661700217;55.0;60.0;2
106;22903;18.479338846153848;54.42784610981098;6531134.458397264;6033231.661700217;55.0;60.0;2
107;22918;18.59164653846154;54.42784610981098;6538383.50204989;6033231.661700217;55.0;60.0;2
108;22950;18.488569615384616;54.42694601980198;6531730.270204329;6033131.518076775;70.0;75.0;2
109;23176;18.490108076923075;54.42694601980198;6531829.572172172;6033131.518076775;65.0;70.0;2
110;23208;18.499338846153847;54.42694601980198;6532425.383979238;6033131.518076775;60.0;65.0;2
111;23209;18.500877307692306;54.42694601980198;6532524.685947082;6033131.518076775;65.0;70.0;2
112;23210;18.459338846153845;54.42694601980198;6529843.532815289;6033131.518076775;60.0;65.0;2
113;23213;18.487031153846154;54.42694601980198;6531630.968236485;6033131.518076775;65.0;70.0;2
114;23218;18.59164653846154;54.42694601980198;6538383.50204989;6033131.518076775;65.0;70.0;2
115;23222;18.493185;54.42694601980198;6532028.176107861;6033131.518076775;60.0;65.0;2
116;23227;18.48549269230769;54.42694601980198;6531531.66626864;6033131.518076775;60.0;65.0;2
117;23232;18.494723461538463;54.42694601980198;6532127.4780757055;6033131.518076775;60.0;65.0;2
118;23236;18.491646538461538;54.42694601980198;6531928.874140017;6033131.518076775;60.0;65.0;2
119;23251;18.496261923076922;54.42694601980198;6532226.78004355;6033131.518076775;60.0;65.0;2
120;23265;18.497800384615385;54.42694601980198;6532326.082011394;6033131.518076775;60.0;65.0;2
121;23268;18.488569615384616;54.42604592979298;6531730.270204329;6033031.374453331;70.0;75.0;2
122;23278;18.480877307692307;54.42694601980198;6531233.760365107;6033131.518076775;55.0;60.0;2
123;23300;18.479338846153848;54.42694601980198;6531134.458397264;6033131.518076775;55.0;60.0;2
124;23323;18.490108076923075;54.42604592979298;6531829.572172172;6033031.374453331;65.0;70.0;2
125;23333;18.483954230769232;54.42694601980198;6531432.364300796;6033131.518076775;55.0;60.0;2
126;23336;18.500877307692306;54.42604592979298;6532524.685947082;6033031.374453331;65.0;70.0;2
127;23341;18.487031153846154;54.42604592979298;6531630.968236485;6033031.374453331;65.0;70.0;2
128;23359;18.48549269230769;54.42604592979298;6531531.66626864;6033031.374453331;60.0;65.0;2
129;23371;18.459338846153845;54.42604592979298;6529843.532815289;6033031.374453331;55.0;60.0;2
130;23378;18.493185;54.42604592979298;6532028.176107861;6033031.374453331;60.0;65.0;2
131;23382;18.494723461538463;54.42604592979298;6532127.4780757055;6033031.374453331;60.0;65.0;2
132;23387;18.496261923076922;54.42604592979298;6532226.78004355;6033031.374453331;60.0;65.0;2
133;23389;18.497800384615385;54.42604592979298;6532326.082011394;6033031.374453331;55.0;60.0;2
134;23403;18.499338846153847;54.42604592979298;6532425.383979238;6033031.374453331;60.0;65.0;2
135;23416;18.593185;54.42604592979298;6538482.804017734;6033031.374453331;65.0;70.0;2
136;23427;18.47164653846154;54.42604592979298;6530637.948558043;6033031.374453331;55.0;60.0;2
137;23461;18.473185;54.42604592979298;6530737.250525887;6033031.374453331;55.0;60.0;2
138;23560;18.488569615384616;54.42514583978398;6531730.270204329;6032931.230829889;70.0;75.0;2
139;23578;18.50241576923077;54.42514583978398;6532623.987914926;6032931.230829889;70.0;75.0;2
140;23618;18.457800384615386;54.42514583978398;6529744.230847444;6032931.230829889;65.0;70.0;2
141;23638;18.487031153846154;54.42514583978398;6531630.968236485;6032931.230829889;65.0;70.0;2
142;23709;18.494723461538463;54.42514583978398;6532127.4780757055;6032931.230829889;60.0;65.0;2
143;23727;18.496261923076922;54.42514583978398;6532226.78004355;6032931.230829889;60.0;65.0;2
144;23748;18.493185;54.42514583978398;6532028.176107861;6032931.230829889;60.0;65.0;2
145;23756;18.47164653846154;54.42514583978398;6530637.948558043;6032931.230829889;60.0;65.0;2
146;23758;18.500877307692306;54.42514583978398;6532524.685947082;6032931.230829889;60.0;65.0;2
147;23774;18.59472346153846;54.42514583978398;6538582.105985578;6032931.230829889;65.0;70.0;2
148;23779;18.499338846153847;54.42514583978398;6532425.383979238;6032931.230829889;60.0;65.0;2
149;23813;18.477800384615385;54.42514583978398;6531035.156429419;6032931.230829889;55.0;60.0;2
150;23817;18.48549269230769;54.42514583978398;6531531.66626864;6032931.230829889;55.0;60.0;2
151;23828;18.497800384615385;54.42514583978398;6532326.082011394;6032931.230829889;55.0;60.0;2
